text,predicted_label,confidence,positive_probability,negative_probability
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,POSITIVE,0.9063,0.9063,0.0937
Rihko said the sale will enable the company to concentrate on its grain-based business .,POSITIVE,0.9977,0.9977,0.0023
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,POSITIVE,0.988,0.988,0.012
RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .,NEGATIVE,0.9888,0.0112,0.9888
Rimi supermarket is the key customer in Magistral center .,POSITIVE,0.9368,0.9368,0.0632
"Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas , which a member of Merko , the largest construction group in the Baltic countries .",NEGATIVE,0.9175,0.0825,0.9175
"Risto Raty , Tekla 's executive vice president , said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project .",POSITIVE,0.9984,0.9984,0.0016
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",POSITIVE,0.9848,0.9848,0.0152
Rosa is one of the best-known Duckburg illustrators .,POSITIVE,0.9997,0.9997,0.0003
RSA 's shares closed at 156.9 p at the time of going to press .,NEGATIVE,0.9946,0.0054,0.9946
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,NEGATIVE,0.9992,0.0008,0.9992
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,POSITIVE,0.9512,0.9512,0.0488
"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .",POSITIVE,0.9955,0.9955,0.0045
"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",POSITIVE,0.9401,0.9401,0.0599
Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,POSITIVE,0.6349,0.6349,0.3651
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",NEGATIVE,0.9343,0.0657,0.9343
"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",POSITIVE,0.9881,0.9881,0.0119
Stora Enso will receive a 19.9 pct equity interest in the combined company .,POSITIVE,0.8517,0.8517,0.1483
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,POSITIVE,0.9924,0.9924,0.0076
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,POSITIVE,0.6899,0.6899,0.3101
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,NEGATIVE,0.8456,0.1544,0.8456
"Technopolis , St. Petersburg 's Telecommunications University and the Russian Support Fund for Legislative Initiatives signed a protocol of intent in May of this year to set up a technopark in St. Petersburg on the base of the St. Petersburg Telecommunications University .",POSITIVE,0.9807,0.9807,0.0193
"Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .",POSITIVE,0.9957,0.9957,0.0043
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",NEGATIVE,0.8798,0.1202,0.8798
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .,POSITIVE,0.9281,0.9281,0.0719
Teleste expects to start the deliveries at the end of 2009 .,NEGATIVE,0.9908,0.0092,0.9908
"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",POSITIVE,0.9994,0.9994,0.0006
"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''",NEGATIVE,0.994,0.006,0.994
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",POSITIVE,0.9982,0.9982,0.0018
"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources .",NEGATIVE,0.9599,0.0401,0.9599
The acquisition is part of Ramirent 's Central and Eastern European growth strategy .,POSITIVE,0.9986,0.9986,0.0014
The agreement includes application maintenance and support services .,POSITIVE,0.7596,0.7596,0.2404
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present .,POSITIVE,0.9933,0.9933,0.0067
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",POSITIVE,0.9993,0.9993,0.0007
The annual value of the contracts is estimated at USD 2mn over the next three years .,NEGATIVE,0.9873,0.0127,0.9873
"The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery .",POSITIVE,0.9956,0.9956,0.0044
"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .",NEGATIVE,0.9985,0.0015,0.9985
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,POSITIVE,0.9923,0.9923,0.0077
"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",POSITIVE,0.7287,0.7287,0.2713
"The bond , with a maturity of five years , is part of the bank 's domestic bond program .",POSITIVE,0.9967,0.9967,0.0033
The bridge is part of the highway 14 development project .,POSITIVE,0.9148,0.9148,0.0852
The building will house product development and test laboratories .,POSITIVE,0.9822,0.9822,0.0178
The business area 's net sales were slightly over 2m in 2006 .,NEGATIVE,0.9862,0.0138,0.9862
The business development initiatives in North America are headed by Lynn Shanahan .,POSITIVE,0.9975,0.9975,0.0025
"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",POSITIVE,0.9611,0.9611,0.0389
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",POSITIVE,0.7613,0.7613,0.2387
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,POSITIVE,0.6175,0.6175,0.3825
The changes in readership were not significant .,NEGATIVE,0.9997,0.0003,0.9997
The closing of such transaction took place today .,NEGATIVE,0.6039,0.3961,0.6039
"The closing of the transaction is scheduled to take place on January 10 , 2008 .",NEGATIVE,0.8657,0.1343,0.8657
The combined capital of these funds is expected to be EUR 100mn-150mn .,NEGATIVE,0.9816,0.0184,0.9816
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,NEGATIVE,0.9731,0.0269,0.9731
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",NEGATIVE,0.945,0.055,0.945
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .",NEGATIVE,0.8079,0.1921,0.8079
"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation .",NEGATIVE,0.9959,0.0041,0.9959
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",POSITIVE,0.9654,0.9654,0.0346
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,POSITIVE,0.9875,0.9875,0.0125
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,POSITIVE,0.9522,0.9522,0.0478
The company did not distribute a dividend in 2005 .,NEGATIVE,0.9966,0.0034,0.9966
The company expects its net sales for the whole 2009 to be at previous year levels .,NEGATIVE,0.9989,0.0011,0.9989
"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",NEGATIVE,0.9986,0.0014,0.9986
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",POSITIVE,0.9962,0.9962,0.0038
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,NEGATIVE,0.9787,0.0213,0.9787
The company has 120 employees and annual sales of approximately EUR16m .,POSITIVE,0.9108,0.9108,0.0892
The company has an annual turnover of EUR32 .8 m.,POSITIVE,0.7197,0.7197,0.2803
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",POSITIVE,0.9789,0.9789,0.0211
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .",POSITIVE,0.9137,0.9137,0.0863
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,POSITIVE,0.7218,0.7218,0.2782
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,NEGATIVE,0.9906,0.0094,0.9906
"The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .",POSITIVE,0.7871,0.7871,0.2129
"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",POSITIVE,0.7392,0.7392,0.2608
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",NEGATIVE,0.9948,0.0052,0.9948
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,NEGATIVE,0.9859,0.0141,0.9859
The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .,POSITIVE,0.9663,0.9663,0.0337
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",NEGATIVE,0.9945,0.0055,0.9945
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",NEGATIVE,0.9595,0.0405,0.9595
"The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million .",POSITIVE,0.9411,0.9411,0.0589
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,POSITIVE,0.6692,0.6692,0.3308
The contract is worth some EUR 1 million .,POSITIVE,0.9708,0.9708,0.0292
The contract value amounts to EUR 2.4 million .,NEGATIVE,0.7992,0.2008,0.7992
The credit covers approximately 70 % of the ship 's price .,POSITIVE,0.9466,0.9466,0.0534
The customer is cooperative retailer Osuuskauppa Suur-Savo .,NEGATIVE,0.9727,0.0273,0.9727
The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V .,NEGATIVE,0.9648,0.0352,0.9648
"The customer is then forwarded to the site , and unknown to him logged in with the first number .",NEGATIVE,0.9969,0.0031,0.9969
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",NEGATIVE,0.8368,0.1632,0.8368
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,POSITIVE,0.997,0.997,0.003
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",NEGATIVE,0.9846,0.0154,0.9846
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",NEGATIVE,0.9839,0.0161,0.9839
The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .,NEGATIVE,0.9726,0.0274,0.9726
